subjectIx,NS,SAS,is_outlier
0,0.6083817481032874,0.5914783518931812,FALSE
1,0.6172879302641279,0.6207277764396849,FALSE
2,0.5959039125199939,0.5820750209354347,FALSE
3,0.5826570970822689,0.5672069732733992,FALSE
5,0.5833403130679014,0.5393219370021254,FALSE
6,0.5578008652220408,0.5424071421631352,FALSE
8,0.6078752976329598,0.5708946452377068,FALSE
10,0.6097838465159876,0.5960700492498694,FALSE
11,0.595697081000212,0.577995907588341,FALSE
12,0.6122192172528215,0.6088349634599729,FALSE
13,0.6358492709277376,0.6208017417362809,FALSE
14,0.590797669416108,0.569152987241049,FALSE
15,0.569442981794716,0.5453873305267695,FALSE
16,0.591825064397805,0.5681259740929279,FALSE
17,0.5238874457121557,0.47898688192972183,FALSE
18,0.5504499025249807,0.5193430559400134,FALSE
19,0.5391223809536252,0.5185239183043078,FALSE
20,0.6125399720596343,0.5962529627348404,FALSE
21,0.5586889417405876,0.5488666614059184,FALSE
22,0.5178072740154445,0.5268650600389314,FALSE
23,0.6093884855744873,0.6133135727902019,FALSE
24,0.6129657023795683,0.5947550955728124,FALSE
26,0.6220541366583457,0.6075734064698205,FALSE
27,0.6429301919793463,0.6461859678921943,FALSE
28,0.5642604150988734,0.5355344031841244,FALSE
29,0.6107918873187272,0.5754810259482005,FALSE
30,0.6111943172132258,0.6052410567282207,FALSE
31,0.6162243968815299,0.5861012283015223,FALSE
32,0.516260023087045,0.518613643009723,FALSE
33,0.6077756890337285,0.5858752526876909,FALSE
34,0.5893631573616523,0.5578828014049385,FALSE
35,0.611593086884023,0.6222322779346691,FALSE
