subjectIx,t_d_alt,mean_RT
0,short,0.825633315487981
0,intermediate,0.5244516940826239
0,long,0.5620404493106651
2,short,0.44318571057738154
2,intermediate,0.534075904623443
2,long,0.5906791417794586
3,short,0.689488964955152
3,intermediate,0.561355931061706
3,long,0.5691745156433502
5,short,0.6463257721034097
5,intermediate,0.5339909198125952
5,long,0.5666048827785992
6,short,0.512695795295258
6,intermediate,0.5223660070259939
6,long,0.5499111507957898
8,short,0.5724064135138178
8,intermediate,0.5421682142354817
8,long,0.5538686020694773
10,short,0.6167107392507855
10,intermediate,0.573464660652462
10,long,0.5870461836127462
11,short,0.5798065210838104
11,intermediate,0.5808944804917296
11,long,0.5827370959602073
12,short,0.5394917095060615
12,intermediate,0.6002179679902232
12,long,0.5990666188278434
13,short,0.5511390944811865
13,intermediate,0.583171374323077
13,long,0.6115474800970498
14,short,0.6056202912669895
14,intermediate,0.5884749303161363
14,long,0.5758581422802914
15,short,0.5415965736743105
15,intermediate,0.5413121173914988
15,long,0.5395892888640943
16,short,0.5832328570968992
16,intermediate,0.588611794660162
16,long,0.5647002518191584
17,short,0.44833176126030594
17,intermediate,0.474783433761427
17,long,0.5179358225221854
18,short,0.6163809290039353
18,intermediate,0.5159501003845913
18,long,0.5559142607550408
19,short,0.46128515540790843
19,intermediate,0.503719135218872
19,long,0.5217504142860131
21,short,0.5481389302588087
21,intermediate,0.5524313117256541
21,long,0.5588044660446189
22,short,0.4733633705570052
22,intermediate,0.4904457235622287
22,long,0.4869777069200912
23,short,0.5213615484124816
23,intermediate,0.5844599222564284
23,long,0.5999390622718714
24,short,0.5852213626421872
24,intermediate,0.5322113456888473
24,long,0.59694396153091
26,short,0.8191739229073391
26,intermediate,0.599445005198921
26,long,0.6085552107451013
27,short,0.5774968074246942
27,intermediate,0.574734650221638
27,long,0.5995468493901299
28,short,0.5448136318144521
28,intermediate,0.5275629682007069
28,long,0.5555556934161574
29,short,0.5575122114457935
29,intermediate,0.5785159162218557
29,long,0.5957997321453893
30,short,0.6145628928789416
30,intermediate,0.5888247871041694
30,long,0.585421231145752
31,short,0.47940109696833133
31,intermediate,0.5831193314134064
31,long,0.5989114645159164
32,short,0.48006667053276336
32,intermediate,0.5186341738808344
32,long,0.5117111878231476
33,short,0.6136513989734322
33,intermediate,0.5724854596692871
33,long,0.5870010198221135
34,short,0.5800879233769743
34,intermediate,0.5363396398408327
34,long,0.5730523493166402
35,short,0.6263272468136165
35,intermediate,0.5713603889876746
35,long,0.5939608945478664
