subjectIx,t_d_alt,mean_RT,is_outlier
0,short,0.6763379780337951,FALSE
0,intermediate,0.5684243894414976,FALSE
0,long,0.5677807069710171,FALSE
1,short,0.793348116918943,FALSE
1,intermediate,0.5624659873269411,FALSE
1,long,0.5973097267106358,FALSE
2,short,0.7222271784527644,FALSE
2,intermediate,0.5539320440752378,FALSE
2,long,0.5827913695163922,FALSE
3,short,0.6278753789756593,FALSE
3,intermediate,0.5363976046460266,FALSE
3,long,0.570310203188042,FALSE
5,short,0.534839347798374,FALSE
5,intermediate,0.5217948436816018,FALSE
5,long,0.5504866070562101,FALSE
6,short,0.5384797457187563,FALSE
6,intermediate,0.5477273221056349,FALSE
6,long,0.5396628784992572,FALSE
8,short,0.5660013022631909,FALSE
8,intermediate,0.5568534428419769,FALSE
8,long,0.5811573839594569,FALSE
10,short,0.6186197903966483,FALSE
10,intermediate,0.5636793012532918,FALSE
10,long,0.6112033917656018,FALSE
11,short,0.6245286357453941,FALSE
11,intermediate,0.5753014013367843,FALSE
11,long,0.566500877111442,FALSE
12,short,0.6705903884585974,FALSE
12,intermediate,0.5881846196297214,FALSE
12,long,0.5983629326878549,FALSE
13,short,0.7260464469381986,FALSE
13,intermediate,0.6014971137914911,FALSE
13,long,0.6145323321536934,FALSE
14,short,0.5440706317313015,FALSE
14,intermediate,0.5675228461332154,FALSE
14,long,0.5765782594032013,FALSE
15,short,0.5425135734612527,FALSE
15,intermediate,0.555063833857606,FALSE
15,long,0.5378942110673961,FALSE
16,short,0.6020202184590744,FALSE
16,intermediate,0.5538478123780806,FALSE
16,long,0.5538600093690506,FALSE
17,short,0.4736259472172865,FALSE
17,intermediate,0.47829696059311944,TRUE
17,long,0.483522196916733,FALSE
18,short,0.5064833284929839,FALSE
18,intermediate,0.5321202432663622,FALSE
18,long,0.5146605276379926,FALSE
19,short,0.5083341049988891,FALSE
19,intermediate,0.5297791310018156,FALSE
19,long,0.5171609182684249,FALSE
20,short,0.6866291089507286,FALSE
20,intermediate,0.5759388780306836,FALSE
20,long,0.5897120978229698,FALSE
21,short,0.5484608607887892,FALSE
21,intermediate,0.5519802012612947,FALSE
21,long,0.5463604262572416,FALSE
22,short,0.5698807654219146,FALSE
22,intermediate,0.5029670134349862,FALSE
22,long,0.513035347146023,FALSE
23,short,0.646603121746828,FALSE
23,intermediate,0.5807232632669184,FALSE
23,long,0.6058686746551261,FALSE
24,short,0.6300169570257661,FALSE
24,intermediate,0.5756234604632482,FALSE
24,long,0.5905597261733323,FALSE
26,short,0.6523704126778174,FALSE
26,intermediate,0.5787557931263905,FALSE
26,long,0.6006458177224441,FALSE
27,short,0.8418734434661417,TRUE
27,intermediate,0.5990432621841929,FALSE
27,long,0.6082410648868507,FALSE
28,short,0.5382211626688851,FALSE
28,intermediate,0.5374418249034009,FALSE
28,long,0.5317916025392707,FALSE
29,short,0.58587180527403,FALSE
29,intermediate,0.5760072235143525,FALSE
29,long,0.5656162966789163,FALSE
30,short,0.6049688293013181,FALSE
30,intermediate,0.5999480490017634,FALSE
30,long,0.6102513425394878,FALSE
31,short,0.5466564384517483,FALSE
31,intermediate,0.5815021670463428,FALSE
31,long,0.5999946218436285,FALSE
32,short,0.5334635108223154,FALSE
32,intermediate,0.5206246853090616,FALSE
32,long,0.5056327867092184,FALSE
33,short,0.6239069504379293,FALSE
33,intermediate,0.5535859445521923,FALSE
33,long,0.5943219994897504,FALSE
34,short,0.5688965997860578,FALSE
34,intermediate,0.5336021883025114,FALSE
34,long,0.5713449071526234,FALSE
35,short,0.744481817658905,FALSE
35,intermediate,0.6067488546595121,FALSE
35,long,0.607388089586498,FALSE
