subjectIx,trial_alt,t_d_alt,RT_trial,RT_trial_inv
0,SAS,short,0.8230061180511257,1.2150577961291404
0,SAS,long,0.7731895315810107,1.2933439462834027
0,SAS,short,0.8144946036336478,1.227755218437016
0,SAS,long,0.5939741560723633,1.683574932977675
0,SAS,long,0.5406235083792126,1.8497160861502242
0,SAS,long,0.5609774557233322,1.7826028297529104
0,SAS,long,0.53741820553841535,1.8607482770297008
0,SAS,long,0.44428285615867935,2.250818338222895
0,SAS,long,0.8653824889915995,1.1555583949535027
0,SAS,intermediate,0.4923925685870927,2.030899862825861
0,SAS,short,0.364331851771567,2.7447504113008256
0,SAS,short,0.4282563419546932,2.3350500670595875
0,SAS,short,0.40627121907891706,2.461409898213225
0,SAS,long,0.6542802926705917,1.5283969442488872
0,SAS,long,0.465455408237176,2.1484335175893867
0,SAS,long,0.42020816111471504,2.3797729138511525
0,SAS,short,0.4404829358245479,2.270235504419898
0,SAS,long,0.49510784226004034,2.0197619884897327
0,SAS,long,0.4061125081498176,2.4623718302985473
0,SAS,long,0.6135407654946903,1.6298835484773575
0,SAS,long,0.6013748767145444,1.6628562959983306
0,SAS,long,0.6419865940115415,1.5576649252928516
0,SAS,short,0.6356374248425709,1.573223918097131
0,SAS,long,0.6185099905414972,1.6167887589406815
0,SAS,intermediate,0.38762286586279515,2.579827167249635
0,SAS,long,0.4419910555006936,2.262489223604731
0,SAS,long,0.7615515212528408,1.3131087944711657
0,SAS,long,0.5385595347033814,1.8568049316047537
0,SAS,long,0.589982063829666,1.6949667817167922
0,SAS,long,0.5492584443127271,1.8206365516169245
0,SAS,long,0.49615445685049053,2.015501395166015
0,SAS,long,0.5725319050980033,1.746627552273833
0,SAS,short,0.6411197177803842,1.5597710884046625
0,SAS,long,0.48513794247992337,2.061269409043147
0,SAS,intermediate,0.885982365172822,1.1286906368671767
0,SAS,long,0.5349005891621346,1.86950626015648
0,SAS,short,0.7018414649355691,1.424823197204233
0,SAS,long,0.6647724026552169,1.5042742388309527
0,SAS,short,0.4430936211720109,2.2568593909227044
0,SAS,long,0.49607894114160445,2.0158082052399653
0,SAS,short,0.9294518458191305,1.0759029685058026
0,SAS,short,0.8629647590132663,1.1587958715062976
0,SAS,intermediate,0.5366822996293195,1.863299759821945
0,SAS,long,0.45076281286310405,2.218461619866807
0,SAS,intermediate,0.4678225938696414,2.1375624288010546
0,SAS,long,0.525526638928568,1.9028531113832359
0,SAS,intermediate,0.4645951665734174,2.152411544389099
0,SAS,long,0.614778324146755,1.626602566685952
0,SAS,intermediate,0.514839065814158,1.942354546111641
0,SAS,intermediate,0.49441801370994654,2.022580027973367
0,SAS,intermediate,0.5225149707257515,1.913820763089413
0,SAS,intermediate,0.5021198828762863,1.9915562679408632
0,SAS,long,0.5114019133179681,1.9554091878773285
0,SAS,long,0.5221575054165442,1.9151309511528776
0,SAS,intermediate,0.5500776496774051,1.8179251612685106
0,SAS,long,0.5126097987085814,1.9508015697696406
0,SAS,long,0.5302760822523851,1.8858101156522644
0,SAS,long,0.5582099400053266,1.7914406898423514
0,SAS,long,0.6486457404971588,1.541673578606318
0,SAS,short,0.9370836847374449,1.0671405513587435
0,SAS,long,0.6094596789916977,1.6407976351354694
0,SAS,intermediate,0.5623095461196499,1.7783799099637143
0,SAS,long,0.5876069371443009,1.7018178935393102
0,SAS,short,0.4316750790021615,2.3165571714530055
0,SAS,intermediate,0.5922814133227803,1.6883865971580339
0,SAS,intermediate,0.5812574022420449,1.72040819805953
0,SAS,long,0.5516077109496109,1.812882561555325
0,SAS,intermediate,0.5250369754503481,1.9046277629156585
0,SAS,short,0.7215136290178634,1.3859752051547758
0,SAS,short,0.9382769423536956,1.0657834109100777
0,SAS,long,0.5733353856485337,1.7441798030115316
0,SAS,intermediate,0.4842879402131075,2.064887264299741
0,SAS,short,0.8492106636986136,1.177564110705635
0,SAS,intermediate,0.652608211588813,1.5323129287102308
0,SAS,long,0.7353189213899896,1.3599541245445963
0,SAS,intermediate,0.5448361658491194,1.8354141348923014
0,SAS,intermediate,0.4844749923940981,2.064090026728451
0,SAS,long,0.562383050477365,1.7781474728855617
0,SAS,intermediate,1.1223276991513558,0.8910053639023136
0,SAS,long,0.5481996310991235,1.8241529969566572
0,SAS,long,0.520024232842843,1.9229873087514575
0,SAS,long,0.624484010390006,1.601322024843318
0,SAS,short,0.8053717019211035,1.2416626976272414
1,SAS,short,1.0192544523051765,0.9811092781967937
1,SAS,short,1.0202935739634995,0.9801100639253605
1,SAS,short,1.0279653014804353,0.9727954810924447
1,SAS,short,1.1063527046098898,0.9038708865927247
1,SAS,long,0.6263424944136204,1.5965705806632142
1,SAS,long,0.575045576233606,1.7389925969863664
1,SAS,long,0.758026068977415,1.3192158435250259
1,SAS,short,0.7965699309534102,1.2553825610804885
1,SAS,long,0.6565273055748548,1.5231658934953218
1,SAS,long,0.46414809181078454,2.1544847811367536
1,SAS,long,0.572214550251374,1.7475962461295325
1,SAS,short,0.48906836121022934,2.044703929580395
1,SAS,intermediate,0.5316048785753082,1.8810963561507985
1,SAS,intermediate,0.5705844658605201,1.7525888975821695
1,SAS,intermediate,0.668285306335747,1.4963668818084104
1,SAS,short,1.0361992846883368,0.9650653255380073
1,SAS,short,0.6031007639630843,1.6580977172517888
1,SAS,long,0.6809729031774623,1.4684872119491645
1,SAS,long,0.7484699163633195,1.3360590427719792
1,SAS,long,0.5326443659305369,1.8774252840410441
1,SAS,long,0.5450576917010039,1.8346681740775408
1,SAS,long,0.4550958665786311,2.1973392277058195
