subjectIx,trial_alt,t_d_alt,RT_trial,RT_trial_inv
0,SSS,short,1.121580535385874,0.8915989253111949
0,SSS,long,0.6269244133436587,1.5950886242674265
0,SSS,intermediate,0.5377495237771655,1.8596018327937813
0,SSS,short,0.42839493975043297,2.3342946127761524
0,SSS,intermediate,0.4049218103464227,2.4696125880314277
0,SSS,long,0.5546933799632825,1.802797790855543
0,SSS,short,0.6450562246318441,1.550252461435799
0,SSS,long,0.4825475531251868,2.0723346197148182
0,SSS,intermediate,0.5391594547545537,1.8547388739667725
0,SSS,long,0.5592839294986334,1.7880005972931206
0,SSS,long,0.5029565373406513,1.9882433684775875
0,SSS,long,0.6617823103879346,1.5110709130526674
0,SSS,intermediate,0.5654765819199383,1.7684198284652974
0,SSS,long,0.5790346655412577,1.7270123181057584
0,SSS,long,0.553970769746229,1.8051493952615847
0,SSS,intermediate,0.5480633582046721,1.824606562416008
0,SSS,intermediate,0.6056571466906462,1.651099149847519
0,SSS,long,0.48391634359722957,2.0664728795196763
0,SSS,long,0.5585960601456463,1.7902023865676095
0,SSS,intermediate,0.5133025527757127,1.9481687643913774
0,SSS,intermediate,0.5099277510453248,1.961062126840622
0,SSS,long,0.5679977244435577,1.7605704335869583
0,SSS,long,0.5895017776201712,1.6963477261035873
0,SSS,short,0.7657111531880219,1.3059754919809141
0,SSS,long,0.5804565336729866,1.7227818828607981
0,SSS,intermediate,0.5209775955881923,1.9194683388850597
0,SSS,long,0.41288995642389636,2.421952833779621
0,SSS,long,0.5425092586083338,1.8432865137919296
0,SSS,long,0.6858621772698825,1.4580188748424106
0,SSS,long,0.6171246131270891,1.6204182732767822
0,SSS,intermediate,0.5202449288335629,1.9221715476248702
0,SSS,intermediate,0.47035538651107345,2.1260519783086553
0,SSS,short,1.118938635365339,0.8937040588231141
0,SSS,long,0.5764401228079805,1.7347855578282025
0,SSS,long,0.45946832763729617,2.176428580272891
0,SSS,intermediate,0.5575842385442229,1.7934509817043338
0,SSS,long,0.5934253023442579,1.6851320563002887
0,SSS,short,1.1705690611997852,0.8542853498750779
0,SSS,long,0.6134676788788056,1.6300777276932241
0,SSS,short,0.5291826588945696,1.8897066696949956
1,SSS,short,1.109229625286389,0.9015265885472656
1,SSS,intermediate,0.4773535124313639,2.0948835065789626
1,SSS,intermediate,0.42267775751861336,2.3658685185391217
1,SSS,intermediate,0.4738883717363933,2.1102015994523353
1,SSS,intermediate,0.5735685350991844,1.7434708126502703
1,SSS,long,0.4934135463445273,2.02669749829233
1,SSS,long,0.571391005651094,1.7501150527571054
1,SSS,long,0.5685864925380884,1.7587473728687149
1,SSS,long,0.5703771169301035,1.7532260154162957
1,SSS,long,0.5199487238023721,1.9232665726862925
1,SSS,long,0.5572709824373305,1.7944591258391205
1,SSS,intermediate,0.5212462088129541,1.9184791814166338
1,SSS,long,0.5962385017955967,1.6771811900581044
1,SSS,intermediate,0.5833954846839333,1.7141030848769268
1,SSS,long,0.7013483813680068,1.425824920347662
1,SSS,short,0.4327858067917987,2.3106118183794147
1,SSS,long,0.5902099041031761,1.6943124692553235
1,SSS,long,0.6671292256196466,1.4989599639727589
1,SSS,intermediate,0.5890380352466309,1.6976832397271238
1,SSS,intermediate,0.5717973557984806,1.7488713262822984
1,SSS,long,0.5853553061679122,1.7083641157139264
1,SSS,long,0.5883057314895268,1.699796460367822
1,SSS,long,0.5199732886212587,1.9231757128362532
1,SSS,long,0.6321194377997017,1.5819795124175058
1,SSS,long,0.6101693412419991,1.6388892925437732
1,SSS,intermediate,0.552229943443308,1.8108398718199172
1,SSS,intermediate,0.5725857936995453,1.7464631693686992
1,SSS,intermediate,0.5741875367457396,1.7415912676676881
1,SSS,long,0.6814299020479666,1.467502375511559
1,SSS,long,0.625251873061643,1.5993554647079178
1,SSS,long,0.7670154579791415,1.3037546891619418
1,SSS,long,0.5988485285633942,1.6698713486012011
2,SSS,intermediate,0.5397627585389273,1.8526657947037313
2,SSS,short,0.44772198781356565,2.2335289023518015
2,SSS,long,1.0670063863763062,0.937201513288155
2,SSS,intermediate,0.45849356635153526,2.1810556862498744
2,SSS,short,0.4306068619262078,2.3223039120341933
2,SSS,intermediate,0.5787812521557498,1.7277684725885012
2,SSS,long,0.6114647922840959,1.6354171370432473
2,SSS,intermediate,0.5736320682608493,1.7432777128932533
2,SSS,long,0.5140406093141792,1.9453715949293897
2,SSS,long,0.5080850655249378,1.968174362627311
2,SSS,intermediate,0.49086352207632444,2.0372261433688483
2,SSS,long,0.5959174055678886,1.6780849001163753
2,SSS,long,0.5802881029212585,1.723281926625495
2,SSS,long,0.6966712515004474,1.435397252070129
2,SSS,intermediate,0.5748801890422328,1.7394928874937041
2,SSS,intermediate,0.5464875440666219,1.829867873215589
2,SSS,long,0.5219127663476684,1.9160290080619666
2,SSS,intermediate,0.500971545046923,1.9961213563663303
2,SSS,intermediate,0.5111788545073068,1.9562624533126223
2,SSS,short,0.4512282819923712,2.216173143191647
2,SSS,intermediate,0.5639838679417153,1.7731003612737104
2,SSS,long,0.5405963225985033,1.8498091056063144
2,SSS,long,0.4936784275887476,2.0256100816157945
2,SSS,intermediate,0.5326455409049231,1.8774211425877672
2,SSS,long,0.5668920661519223,1.764004225333449
2,SSS,long,0.5620067319905502,1.779338116570487
2,SSS,long,0.580602195679603,1.722349669776026
2,SSS,long,0.48100687497935724,2.078972364049715
2,SSS,long,0.5917063748165674,1.6900274233313881
2,SSS,intermediate,0.5104274916811846,1.9591421236076458
2,SSS,intermediate,0.5608785595304653,1.7829171449112649
