subjectIx,trial_alt,t_d,p_resp
0,SSS,-0.7070760901220053,0.08333333333333333
0,SSS,-0.35353804506100267,0.041666666666666664
0,SSS,0,0.16666666666666666
0,SSS,0.35353804506100256,0.5
0,SSS,0.7070760901220053,0.875
1,SSS,-0.7070760901220053,0
1,SSS,-0.35353804506100267,0
1,SSS,0,0.08333333333333333
1,SSS,0.35353804506100256,0.4583333333333333
1,SSS,0.7070760901220053,0.7916666666666666
2,SSS,-0.7070760901220053,0
2,SSS,-0.35353804506100267,0
2,SSS,0,0.125
2,SSS,0.35353804506100256,0.5416666666666666
2,SSS,0.7070760901220053,0.7916666666666666
3,SSS,-0.7070760901220053,0.041666666666666664
3,SSS,-0.35353804506100267,0.041666666666666664
3,SSS,0,0.20833333333333334
3,SSS,0.35353804506100256,0.7916666666666666
3,SSS,0.7070760901220053,0.9166666666666666
5,SSS,-0.7070760901220053,0
5,SSS,-0.35353804506100267,0.041666666666666664
5,SSS,0,0.20833333333333334
5,SSS,0.35353804506100256,0.6666666666666666
5,SSS,0.7070760901220053,0.9583333333333334
6,SSS,-0.7070760901220053,0
6,SSS,-0.35353804506100267,0
6,SSS,0,0.3333333333333333
6,SSS,0.35353804506100256,0.6666666666666666
6,SSS,0.7070760901220053,1
8,SSS,-0.7070760901220053,0
8,SSS,-0.35353804506100267,0.08333333333333333
8,SSS,0,0.375
8,SSS,0.35353804506100256,0.5833333333333334
8,SSS,0.7070760901220053,0.875
10,SSS,-0.7070760901220053,0.041666666666666664
10,SSS,-0.35353804506100267,0.08333333333333333
10,SSS,0,0.20833333333333334
10,SSS,0.35353804506100256,0.6666666666666666
10,SSS,0.7070760901220053,0.9583333333333334
11,SSS,-0.7070760901220053,0
11,SSS,-0.35353804506100267,0.08333333333333333
11,SSS,0,0.16666666666666666
11,SSS,0.35353804506100256,0.75
11,SSS,0.7070760901220053,1
12,SSS,-0.7070760901220053,0
12,SSS,-0.35353804506100267,0.041666666666666664
12,SSS,0,0.08333333333333333
12,SSS,0.35353804506100256,0.625
12,SSS,0.7070760901220053,1
13,SSS,-0.7070760901220053,0
13,SSS,-0.35353804506100267,0
13,SSS,0,0.08333333333333333
13,SSS,0.35353804506100256,0.5
13,SSS,0.7070760901220053,0.9166666666666666
14,SSS,-0.7070760901220053,0.041666666666666664
14,SSS,-0.35353804506100267,0.08333333333333333
14,SSS,0,0.4583333333333333
14,SSS,0.35353804506100256,0.7916666666666666
14,SSS,0.7070760901220053,1
15,SSS,-0.7070760901220053,0.041666666666666664
15,SSS,-0.35353804506100267,0.041666666666666664
15,SSS,0,0.375
15,SSS,0.35353804506100256,0.5833333333333334
15,SSS,0.7070760901220053,1
16,SSS,-0.7070760901220053,0.125
16,SSS,-0.35353804506100267,0.25
16,SSS,0,0.3333333333333333
16,SSS,0.35353804506100256,0.7916666666666666
16,SSS,0.7070760901220053,0.8333333333333334
17,SSS,-0.7070760901220053,0.041666666666666664
17,SSS,-0.35353804506100267,0.041666666666666664
17,SSS,0,0.3333333333333333
17,SSS,0.35353804506100256,0.7916666666666666
17,SSS,0.7070760901220053,0.9583333333333334
18,SSS,-0.7070760901220053,0.041666666666666664
18,SSS,-0.35353804506100267,0.041666666666666664
18,SSS,0,0.3333333333333333
18,SSS,0.35353804506100256,0.7916666666666666
18,SSS,0.7070760901220053,1
