subjectIx,beta0,beta,B,x,y
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.7070760901220053,0.02742739239326688
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.6927917246649952,0.028807465224632497
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.6785073592079849,0.030254819429475638
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.6642229937509747,0.031772513103172036
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.6499386282939645,0.03336372057454611
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.6356542628369543,0.03503173444365441
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.6213698973799441,0.03677996737708896
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.6070855319229339,0.038611953622190845
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.5928011664659236,0.04053135019830092
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.5785168010089135,0.042541937719801005
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.5642324355519033,0.04464762080223202
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.5499480700948931,0.04685242799924174
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.5356637046378828,0.04916051121454991
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.5213793391808726,0.05157614452955419
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.5070949737238624,0.05410372238369163
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.4928106082668522,0.056747757041261664
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.478526242809842,0.05951287527518132
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.4642418773528318,0.06240381419514354
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.44995751189582156,0.0654254161449768
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.4356731464388114,0.06858262259174468
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.42138878098180116,0.0718804669273851
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.40710441552479093,0.07532406610258302
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.39282005006778076,0.07891861101222365
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.37853568461077053,0.08266935555232029
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.3642513191537603,0.08658160426989536
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.3499669536967501,0.0906606985300718
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.3356825882397399,0.09491200112875671
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.32139822278272967,0.09934087928494173
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.3071138573257195,0.10395268595396165
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.29282949186870927,0.10875273941221344
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.27854512641169904,0.11374630107498712
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.26426076095468887,0.1189385515223553
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.24997639549767864,0.12433456472361583
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.2356920300406684,0.12993928046870193
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.22140766458365824,0.1357574750353171
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.207123299126648,0.1417937301433585
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.19283893366963778,0.148052400273435
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.1785545682126276,0.15453757845389116
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.16427020275561743,0.16125306065056882
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.14998583729860715,0.16820230892536162
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.13570147184159698,0.17538841356313808
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.1214171063845868,0.18281405440144854
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.10713274092757652,0.19048146163309682
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.09284837547056635,0.19839237638758725
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.07856401001355617,0.2065480114329708
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.06427964455654589,0.21494901237395198
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.04999527909953572,0.2235954197544342
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.035710913642525544,0.23248663250205984
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.02142654818551526,0.24162137317775909
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,-0.0071421827285050865,0.250997655513859
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,0.0071421827285050865,0.26061275473889867
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,0.02142654818551537,0.27046318119494445
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,0.035710913642525544,0.28054465775297277
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,0.04999527909953572,0.29085210152292124
0,-1.068042352080478,3.536196711990968,2.3814469060310713e-10,0.064279644556546,0.3013796103365976
