subjectIx,t_d,resp
0,2.2202575118935752e-17,1
0,0.3535073519980406,0
0,2.2202575118935752e-17,0
0,0.7070147039960815,1
0,2.2202575118935752e-17,0
0,-0.7070147039960815,0
0,0.3535073519980406,0
0,2.2202575118935752e-17,0
0,-0.35350735199804073,0
0,0.3535073519980406,1
0,2.2202575118935752e-17,1
0,0.3535073519980406,1
0,0.7070147039960815,1
0,-0.7070147039960815,0
0,-0.7070147039960815,0
0,0.3535073519980406,0
0,-0.35350735199804073,0
0,2.2202575118935752e-17,0
0,-0.35350735199804073,0
0,-0.35350735199804073,0
0,0.3535073519980406,0
0,2.2202575118935752e-17,0
0,2.2202575118935752e-17,1
0,0.7070147039960815,1
0,0.3535073519980406,1
0,0.7070147039960815,1
0,0.7070147039960815,1
0,-0.35350735199804073,0
0,-0.7070147039960815,0
0,-0.7070147039960815,0
0,0.7070147039960815,1
0,0.3535073519980406,1
0,0.7070147039960815,0
0,0.7070147039960815,1
0,2.2202575118935752e-17,0
0,-0.35350735199804073,0
0,0.7070147039960815,1
0,-0.7070147039960815,0
0,-0.35350735199804073,0
0,-0.35350735199804073,0
0,0.3535073519980406,1
0,0.3535073519980406,0
0,-0.7070147039960815,0
0,-0.7070147039960815,0
0,0.3535073519980406,1
0,-0.7070147039960815,0
0,0.7070147039960815,1
0,2.2202575118935752e-17,0
0,-0.35350735199804073,0
0,0.7070147039960815,1
0,0.3535073519980406,0
0,0.3535073519980406,1
0,-0.7070147039960815,0
0,-0.7070147039960815,0
0,2.2202575118935752e-17,0
0,0.3535073519980406,1
0,-0.35350735199804073,0
0,-0.35350735199804073,0
0,2.2202575118935752e-17,0
0,-0.7070147039960815,0
0,-0.7070147039960815,0
0,2.2202575118935752e-17,0
0,-0.7070147039960815,0
0,0.7070147039960815,1
0,-0.35350735199804073,0
0,-0.35350735199804073,0
0,2.2202575118935752e-17,0
0,-0.7070147039960815,0
0,-0.35350735199804073,0
0,-0.7070147039960815,0
0,-0.35350735199804073,0
0,2.2202575118935752e-17,0
0,0.3535073519980406,0
0,0.7070147039960815,1
0,-0.35350735199804073,1
0,0.7070147039960815,1
0,0.3535073519980406,0
0,2.2202575118935752e-17,0
0,0.3535073519980406,0
0,-0.35350735199804073,0
0,-0.35350735199804073,0
0,0.3535073519980406,1
0,2.2202575118935752e-17,0
0,0.7070147039960815,1
0,-0.7070147039960815,0
0,-0.35350735199804073,0
0,0.7070147039960815,0
0,2.2202575118935752e-17,0
0,0.7070147039960815,1
0,-0.35350735199804073,0
0,-0.7070147039960815,0
0,0.7070147039960815,1
0,2.2202575118935752e-17,0
0,0.7070147039960815,1
0,0.3535073519980406,1
0,0.3535073519980406,1
0,-0.7070147039960815,0
0,2.2202575118935752e-17,0
0,2.2202575118935752e-17,0
0,-0.35350735199804073,0
0,2.2202575118935752e-17,0
0,-0.7070147039960815,0
0,2.2202575118935752e-17,0
0,0.3535073519980406,0
0,-0.35350735199804073,0
0,0.3535073519980406,0
0,-0.35350735199804073,0
0,-0.35350735199804073,0
0,-0.7070147039960815,1
0,0.7070147039960815,0
0,0.7070147039960815,1
0,-0.7070147039960815,0
0,0.7070147039960815,1
0,-0.7070147039960815,0
0,0.3535073519980406,1
0,0.7070147039960815,1
0,0.3535073519980406,0
