subjectIx,trial_alt,t_d,p_resp
0,SAS,-0.7070760901220053,0.16666666666666666
0,SAS,-0.35353804506100267,0.0625
0,SAS,0,0.14583333333333334
0,SAS,0.35353804506100256,0.4166666666666667
0,SAS,0.7070760901220053,0.9583333333333334
1,SAS,-0.7070760901220053,0.10416666666666667
1,SAS,-0.35353804506100267,0.020833333333333332
1,SAS,0,0.16666666666666666
1,SAS,0.35353804506100256,0.5208333333333334
1,SAS,0.7070760901220053,0.8541666666666666
2,SAS,-0.7070760901220053,0.020833333333333332
2,SAS,-0.35353804506100267,0.041666666666666664
2,SAS,0,0.0625
2,SAS,0.35353804506100256,0.6458333333333334
2,SAS,0.7070760901220053,0.9166666666666666
3,SAS,-0.7070760901220053,0.0625
3,SAS,-0.35353804506100267,0.020833333333333332
3,SAS,0,0.20833333333333334
3,SAS,0.35353804506100256,0.6875
3,SAS,0.7070760901220053,0.9166666666666666
5,SAS,-0.7070760901220053,0
5,SAS,-0.35353804506100267,0.041666666666666664
5,SAS,0,0.14583333333333334
5,SAS,0.35353804506100256,0.5625
5,SAS,0.7070760901220053,0.9583333333333334
6,SAS,-0.7070760901220053,0.020833333333333332
6,SAS,-0.35353804506100267,0.08333333333333333
6,SAS,0,0.3541666666666667
6,SAS,0.35353804506100256,0.8541666666666666
6,SAS,0.7070760901220053,1
8,SAS,-0.7070760901220053,0
8,SAS,-0.35353804506100267,0.16666666666666666
8,SAS,0,0.25
8,SAS,0.35353804506100256,0.6041666666666666
8,SAS,0.7070760901220053,0.9583333333333334
10,SAS,-0.7070760901220053,0.0625
10,SAS,-0.35353804506100267,0.041666666666666664
10,SAS,0,0.20833333333333334
10,SAS,0.35353804506100256,0.6458333333333334
10,SAS,0.7070760901220053,0.9166666666666666
11,SAS,-0.7070760901220053,0.020833333333333332
11,SAS,-0.35353804506100267,0.041666666666666664
11,SAS,0,0.22916666666666666
11,SAS,0.35353804506100256,0.7708333333333334
11,SAS,0.7070760901220053,1
12,SAS,-0.7070760901220053,0.041666666666666664
12,SAS,-0.35353804506100267,0.10416666666666667
12,SAS,0,0.25
12,SAS,0.35353804506100256,0.7083333333333334
12,SAS,0.7070760901220053,0.9375
13,SAS,-0.7070760901220053,0.125
13,SAS,-0.35353804506100267,0.020833333333333332
13,SAS,0,0.0625
13,SAS,0.35353804506100256,0.6041666666666666
13,SAS,0.7070760901220053,0.9583333333333334
14,SAS,-0.7070760901220053,0
14,SAS,-0.35353804506100267,0.020833333333333332
14,SAS,0,0.25
14,SAS,0.35353804506100256,0.7083333333333334
14,SAS,0.7070760901220053,1
15,SAS,-0.7070760901220053,0.020833333333333332
15,SAS,-0.35353804506100267,0.125
15,SAS,0,0.3333333333333333
15,SAS,0.35353804506100256,0.9166666666666666
15,SAS,0.7070760901220053,1
16,SAS,-0.7070760901220053,0.08333333333333333
16,SAS,-0.35353804506100267,0.16666666666666666
16,SAS,0,0.4375
16,SAS,0.35353804506100256,0.6875
16,SAS,0.7070760901220053,0.9375
17,SAS,-0.7070760901220053,0.020833333333333332
17,SAS,-0.35353804506100267,0.125
17,SAS,0,0.5833333333333334
17,SAS,0.35353804506100256,0.7708333333333334
17,SAS,0.7070760901220053,0.9791666666666666
18,SAS,-0.7070760901220053,0
18,SAS,-0.35353804506100267,0.041666666666666664
18,SAS,0,0.4166666666666667
18,SAS,0.35353804506100256,0.8125
18,SAS,0.7070760901220053,0.9791666666666666
19,SAS,-0.7070760901220053,0.020833333333333332
19,SAS,-0.35353804506100267,0.1875
19,SAS,0,0.6041666666666666
19,SAS,0.35353804506100256,0.8541666666666666
19,SAS,0.7070760901220053,0.9791666666666666
20,SAS,-0.7070760901220053,0.020833333333333332
20,SAS,-0.35353804506100267,0.0625
20,SAS,0,0.125
20,SAS,0.35353804506100256,0.625
20,SAS,0.7070760901220053,0.9375
21,SAS,-0.7070760901220053,0.08333333333333333
21,SAS,-0.35353804506100267,0.20833333333333334
21,SAS,0,0.875
21,SAS,0.35353804506100256,0.9791666666666666
21,SAS,0.7070760901220053,0.9791666666666666
22,SAS,-0.7070760901220053,0.0625
22,SAS,-0.35353804506100267,0.20833333333333334
22,SAS,0,0.5625
22,SAS,0.35353804506100256,0.8958333333333334
22,SAS,0.7070760901220053,0.9791666666666666
23,SAS,-0.7070760901220053,0.20833333333333334
23,SAS,-0.35353804506100267,0.20833333333333334
23,SAS,0,0.625
23,SAS,0.35353804506100256,0.8958333333333334
23,SAS,0.7070760901220053,0.9583333333333334
24,SAS,-0.7070760901220053,0.041666666666666664
24,SAS,-0.35353804506100267,0.16666666666666666
24,SAS,0,0.14583333333333334
24,SAS,0.35353804506100256,0.4791666666666667
24,SAS,0.7070760901220053,0.7916666666666666
26,SAS,-0.7070760901220053,0.125
26,SAS,-0.35353804506100267,0.22916666666666666
26,SAS,0,0.375
26,SAS,0.35353804506100256,0.8333333333333334
26,SAS,0.7070760901220053,0.9791666666666666
27,SAS,-0.7070760901220053,0.041666666666666664
27,SAS,-0.35353804506100267,0.041666666666666664
27,SAS,0,0.2708333333333333
27,SAS,0.35353804506100256,0.6458333333333334
27,SAS,0.7070760901220053,0.9166666666666666
28,SAS,-0.7070760901220053,0
28,SAS,-0.35353804506100267,0.16666666666666666
28,SAS,0,0.5833333333333334
28,SAS,0.35353804506100256,0.8125
28,SAS,0.7070760901220053,0.9375
29,SAS,-0.7070760901220053,0.125
29,SAS,-0.35353804506100267,0.16666666666666666
29,SAS,0,0.5625
29,SAS,0.35353804506100256,0.7708333333333334
29,SAS,0.7070760901220053,0.9583333333333334
