subjectIx,t_d,p_respond
0,-0.7070760901220053,0.16666666666666666
0,-0.35353804506100267,0.0625
0,0,0.14583333333333334
0,0.35353804506100256,0.4166666666666667
0,0.7070760901220053,0.9583333333333334
1,-0.7070760901220053,0.10416666666666667
1,-0.35353804506100267,0.020833333333333332
1,0,0.16666666666666666
1,0.35353804506100256,0.5208333333333334
1,0.7070760901220053,0.8541666666666666
2,-0.7070760901220053,0.020833333333333332
2,-0.35353804506100267,0.041666666666666664
2,0,0.0625
2,0.35353804506100256,0.6458333333333334
2,0.7070760901220053,0.9166666666666666
3,-0.7070760901220053,0.0625
3,-0.35353804506100267,0.020833333333333332
3,0,0.20833333333333334
3,0.35353804506100256,0.6875
3,0.7070760901220053,0.9166666666666666
5,-0.7070760901220053,0
5,-0.35353804506100267,0.041666666666666664
5,0,0.14583333333333334
5,0.35353804506100256,0.5625
5,0.7070760901220053,0.9583333333333334
6,-0.7070760901220053,0.020833333333333332
6,-0.35353804506100267,0.08333333333333333
6,0,0.3541666666666667
6,0.35353804506100256,0.8541666666666666
6,0.7070760901220053,1
8,-0.7070760901220053,0
8,-0.35353804506100267,0.16666666666666666
8,0,0.25
8,0.35353804506100256,0.6041666666666666
8,0.7070760901220053,0.9583333333333334
10,-0.7070760901220053,0.0625
10,-0.35353804506100267,0.041666666666666664
10,0,0.20833333333333334
10,0.35353804506100256,0.6458333333333334
10,0.7070760901220053,0.9166666666666666
11,-0.7070760901220053,0.020833333333333332
11,-0.35353804506100267,0.041666666666666664
11,0,0.22916666666666666
11,0.35353804506100256,0.7708333333333334
11,0.7070760901220053,1
12,-0.7070760901220053,0.041666666666666664
12,-0.35353804506100267,0.10416666666666667
12,0,0.25
12,0.35353804506100256,0.7083333333333334
12,0.7070760901220053,0.9375
13,-0.7070760901220053,0.125
13,-0.35353804506100267,0.020833333333333332
13,0,0.0625
13,0.35353804506100256,0.6041666666666666
13,0.7070760901220053,0.9583333333333334
14,-0.7070760901220053,0
14,-0.35353804506100267,0.020833333333333332
14,0,0.25
14,0.35353804506100256,0.7083333333333334
14,0.7070760901220053,1
15,-0.7070760901220053,0.020833333333333332
15,-0.35353804506100267,0.125
15,0,0.3333333333333333
15,0.35353804506100256,0.9166666666666666
15,0.7070760901220053,1
16,-0.7070760901220053,0.08333333333333333
16,-0.35353804506100267,0.16666666666666666
16,0,0.4375
16,0.35353804506100256,0.6875
16,0.7070760901220053,0.9375
17,-0.7070760901220053,0.020833333333333332
17,-0.35353804506100267,0.125
17,0,0.5833333333333334
17,0.35353804506100256,0.7708333333333334
17,0.7070760901220053,0.9791666666666666
18,-0.7070760901220053,0
18,-0.35353804506100267,0.041666666666666664
18,0,0.4166666666666667
18,0.35353804506100256,0.8125
18,0.7070760901220053,0.9791666666666666
19,-0.7070760901220053,0.020833333333333332
19,-0.35353804506100267,0.1875
19,0,0.6041666666666666
19,0.35353804506100256,0.8541666666666666
19,0.7070760901220053,0.9791666666666666
20,-0.7070760901220053,0.020833333333333332
20,-0.35353804506100267,0.0625
20,0,0.125
20,0.35353804506100256,0.625
20,0.7070760901220053,0.9375
21,-0.7070760901220053,0.08333333333333333
21,-0.35353804506100267,0.20833333333333334
21,0,0.875
21,0.35353804506100256,0.9791666666666666
21,0.7070760901220053,0.9791666666666666
22,-0.7070760901220053,0.0625
22,-0.35353804506100267,0.20833333333333334
22,0,0.5625
22,0.35353804506100256,0.8958333333333334
22,0.7070760901220053,0.9791666666666666
23,-0.7070760901220053,0.20833333333333334
23,-0.35353804506100267,0.20833333333333334
23,0,0.625
23,0.35353804506100256,0.8958333333333334
23,0.7070760901220053,0.9583333333333334
24,-0.7070760901220053,0.041666666666666664
24,-0.35353804506100267,0.16666666666666666
24,0,0.14583333333333334
24,0.35353804506100256,0.4791666666666667
24,0.7070760901220053,0.7916666666666666
26,-0.7070760901220053,0.125
26,-0.35353804506100267,0.22916666666666666
26,0,0.375
26,0.35353804506100256,0.8333333333333334
26,0.7070760901220053,0.9791666666666666
27,-0.7070760901220053,0.041666666666666664
27,-0.35353804506100267,0.041666666666666664
27,0,0.2708333333333333
27,0.35353804506100256,0.6458333333333334
27,0.7070760901220053,0.9166666666666666
28,-0.7070760901220053,0
28,-0.35353804506100267,0.16666666666666666
28,0,0.5833333333333334
28,0.35353804506100256,0.8125
28,0.7070760901220053,0.9375
29,-0.7070760901220053,0.125
29,-0.35353804506100267,0.16666666666666666
29,0,0.5625
29,0.35353804506100256,0.7708333333333334
29,0.7070760901220053,0.9583333333333334
30,-0.7070760901220053,0.041666666666666664
30,-0.35353804506100267,0.10416666666666667
30,0,0.4791666666666667
30,0.35353804506100256,0.8958333333333334
30,0.7070760901220053,0.9791666666666666
31,-0.7070760901220053,0
31,-0.35353804506100267,0.041666666666666664
31,0,0.20833333333333334
31,0.35353804506100256,0.625
31,0.7070760901220053,0.9166666666666666
32,-0.7070760901220053,0.041666666666666664
32,-0.35353804506100267,0.16666666666666666
32,0,0.5416666666666666
32,0.35353804506100256,0.9166666666666666
32,0.7070760901220053,1
33,-0.7070760901220053,0
33,-0.35353804506100267,0.08333333333333333
33,0,0.22916666666666666
33,0.35353804506100256,0.5833333333333334
33,0.7070760901220053,0.9375
34,-0.7070760901220053,0
34,-0.35353804506100267,0.041666666666666664
34,0,0.08333333333333333
34,0.35353804506100256,0.5208333333333334
34,0.7070760901220053,0.8541666666666666
35,-0.7070760901220053,0.020833333333333332
35,-0.35353804506100267,0.0625
35,0,0.125
35,0.35353804506100256,0.5416666666666666
35,0.7070760901220053,0.9791666666666666
