subjectIx,beta,t_d,p_respond
0,3.536196711990968,-0.7070760901220053,0.02742739239326688
0,3.536196711990968,-0.6927917246649952,0.028807465224632497
0,3.536196711990968,-0.6785073592079849,0.030254819429475638
0,3.536196711990968,-0.6642229937509747,0.031772513103172036
0,3.536196711990968,-0.6499386282939645,0.03336372057454611
0,3.536196711990968,-0.6356542628369543,0.03503173444365441
0,3.536196711990968,-0.6213698973799441,0.03677996737708896
0,3.536196711990968,-0.6070855319229339,0.038611953622190845
0,3.536196711990968,-0.5928011664659236,0.04053135019830092
0,3.536196711990968,-0.5785168010089135,0.042541937719801005
0,3.536196711990968,-0.5642324355519033,0.04464762080223202
0,3.536196711990968,-0.5499480700948931,0.04685242799924174
0,3.536196711990968,-0.5356637046378828,0.04916051121454991
0,3.536196711990968,-0.5213793391808726,0.05157614452955419
0,3.536196711990968,-0.5070949737238624,0.05410372238369163
0,3.536196711990968,-0.4928106082668522,0.056747757041261664
0,3.536196711990968,-0.478526242809842,0.05951287527518132
0,3.536196711990968,-0.4642418773528318,0.06240381419514354
0,3.536196711990968,-0.44995751189582156,0.0654254161449768
0,3.536196711990968,-0.4356731464388114,0.06858262259174468
0,3.536196711990968,-0.42138878098180116,0.0718804669273851
0,3.536196711990968,-0.40710441552479093,0.07532406610258302
0,3.536196711990968,-0.39282005006778076,0.07891861101222365
0,3.536196711990968,-0.37853568461077053,0.08266935555232029
0,3.536196711990968,-0.3642513191537603,0.08658160426989536
0,3.536196711990968,-0.3499669536967501,0.0906606985300718
0,3.536196711990968,-0.3356825882397399,0.09491200112875671
0,3.536196711990968,-0.32139822278272967,0.09934087928494173
0,3.536196711990968,-0.3071138573257195,0.10395268595396165
0,3.536196711990968,-0.29282949186870927,0.10875273941221344
0,3.536196711990968,-0.27854512641169904,0.11374630107498712
0,3.536196711990968,-0.26426076095468887,0.1189385515223553
0,3.536196711990968,-0.24997639549767864,0.12433456472361583
0,3.536196711990968,-0.2356920300406684,0.12993928046870193
0,3.536196711990968,-0.22140766458365824,0.1357574750353171
0,3.536196711990968,-0.207123299126648,0.1417937301433585
0,3.536196711990968,-0.19283893366963778,0.148052400273435
0,3.536196711990968,-0.1785545682126276,0.15453757845389116
0,3.536196711990968,-0.16427020275561743,0.16125306065056882
0,3.536196711990968,-0.14998583729860715,0.16820230892536162
0,3.536196711990968,-0.13570147184159698,0.17538841356313808
0,3.536196711990968,-0.1214171063845868,0.18281405440144854
0,3.536196711990968,-0.10713274092757652,0.19048146163309682
0,3.536196711990968,-0.09284837547056635,0.19839237638758725
0,3.536196711990968,-0.07856401001355617,0.2065480114329708
0,3.536196711990968,-0.06427964455654589,0.21494901237395198
0,3.536196711990968,-0.04999527909953572,0.2235954197544342
0,3.536196711990968,-0.035710913642525544,0.23248663250205984
0,3.536196711990968,-0.02142654818551526,0.24162137317775909
0,3.536196711990968,-0.0071421827285050865,0.250997655513859
0,3.536196711990968,0.0071421827285050865,0.26061275473889867
0,3.536196711990968,0.02142654818551537,0.27046318119494445
0,3.536196711990968,0.035710913642525544,0.28054465775297277
0,3.536196711990968,0.04999527909953572,0.29085210152292124
0,3.536196711990968,0.064279644556546,0.3013796103365976
0,3.536196711990968,0.07856401001355617,0.31212045445322806
0,3.536196711990968,0.09284837547056635,0.3230670738986874
0,3.536196711990968,0.10713274092757663,0.33421108180029147
0,3.536196711990968,0.1214171063845868,0.3455432740196373
0,3.536196711990968,0.13570147184159698,0.35705364531682704
0,3.536196711990968,0.14998583729860726,0.3687314122013061
0,3.536196711990968,0.16427020275561743,0.38056504253860174
0,3.536196711990968,0.1785545682126276,0.39254229188987216
0,3.536196711990968,0.1928389336696379,0.40465024646408915
0,3.536196711990968,0.20712329912664806,0.4168753724628113
0,3.536196711990968,0.22140766458365824,0.42920357149703475
0,3.536196711990968,0.23569203004066852,0.44162024165680447
0,3.536196711990968,0.2499763954976787,0.45411034371952674
0,3.536196711990968,0.26426076095468887,0.466658471894567
0,3.536196711990968,0.27854512641169915,0.4792489284220568
0,3.536196711990968,0.2928294918687093,0.4918658012749438
0,3.536196711990968,0.3071138573257196,0.5044930441570917
0,3.536196711990968,0.3213982227827298,0.5171145579481856
0,3.536196711990968,0.33568258823973995,0.5297142727195234
0,3.536196711990968,0.3499669536967501,0.5422762294342084
0,3.536196711990968,0.3642513191537603,0.5547846604510993
0,3.536196711990968,0.3785356846107705,0.5672240679739662
0,3.536196711990968,0.39282005006778087,0.5795792996250132
0,3.536196711990968,0.40710441552479104,0.5918356203742174
0,3.536196711990968,0.4213887809818012,0.6039787801213451
0,3.536196711990968,0.4356731464388114,0.6159950763042701
0,3.536196711990968,0.44995751189582156,0.6278714109932947
0,3.536196711990968,0.46424187735283173,0.6395953420243137
0,3.536196711990968,0.47852624280984213,0.6511551278215382
0,3.536196711990968,0.4928106082668523,0.6625397656607289
0,3.536196711990968,0.5070949737238625,0.6737390232241515
0,3.536196711990968,0.5213793391808726,0.6847434633965694
0,3.536196711990968,0.5356637046378828,0.695544462345512
0,3.536196711990968,0.549948070094893,0.7061342210170055
0,3.536196711990968,0.5642324355519034,0.7165057702584624
0,3.536196711990968,0.5785168010089136,0.7266529698522356
0,3.536196711990968,0.5928011664659237,0.7365705018056314
0,3.536196711990968,0.6070855319229339,0.7462538582953099
0,3.536196711990968,0.6213698973799441,0.755699324705748
0,3.536196711990968,0.6356542628369543,0.7649039582328138
0,3.536196711990968,0.6499386282939646,0.7738655625447362
0,3.536196711990968,0.6642229937509748,0.7825826590043811
